Target,Model,BestParams,R2,MSE
frac_1,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9994268075799432,8.867917637670797e-06
frac_1,Ridge,{'model__alpha': 0.1},0.999402493486978,9.244083417791355e-06
frac_1,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 100}",0.9993921985832861,9.403356909263362e-06
frac_1,Lasso,{'model__alpha': 0.001},0.9993625945301868,9.86136419519176e-06
frac_1,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",0.41091124303664195,0.009113851466338549
frac_2,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9995320930324363,7.929250320901907e-06
frac_2,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",0.9995316588488466,7.936608087736482e-06
frac_2,Ridge,{'model__alpha': 0.1},0.999507353456588,8.348492399633874e-06
frac_2,Lasso,{'model__alpha': 0.001},0.9994730834972223,8.929238370810018e-06
frac_2,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",0.46139066582523525,0.009127387561855346
frac_3,Ridge,{'model__alpha': 0.1},0.0,8.36422372652802e-06
frac_3,Lasso,{'model__alpha': 0.001},0.0,8.36422372652802e-06
frac_3,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,8.36422372652802e-06
frac_3,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",-0.00012180871891653844,8.36524256190488e-06
frac_3,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.28101096768208356,1.0714662329829102e-05
frac_4,Ridge,{'model__alpha': 0.1},0.0,1.756630052177816e-05
frac_4,Lasso,{'model__alpha': 0.001},0.0,1.756630052177816e-05
frac_4,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,1.756630052177816e-05
frac_4,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.0012057695925917766,1.7587481432801647e-05
frac_4,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.13729647241648268,1.997809161682612e-05
