Target,Model,BestParams,R2,MSE
frac_1,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9987736496840494,1.8391454265397885e-05
frac_1,Ridge,{'model__alpha': 0.1},0.9987524239451366,1.870977457027888e-05
frac_1,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 100}",0.9987421357378491,1.8864065796316933e-05
frac_1,Lasso,{'model__alpha': 0.001},0.998710465096891,1.9339027263005983e-05
frac_1,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",0.4254198191537334,0.008616922082045448
frac_2,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",0.9991241698770431,1.6971678700986156e-05
frac_2,Ridge,{'model__alpha': 0.1},0.9991021361374941,1.7398644545621836e-05
frac_2,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 50}",0.9991003281811511,1.7433678798673653e-05
frac_2,Lasso,{'model__alpha': 0.001},0.9990752609969369,1.7919426188802723e-05
frac_2,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",0.5388819297097583,0.008935463084739779
frac_3,Ridge,{'model__alpha': 0.1},0.0,6.019565155644881e-06
frac_3,Lasso,{'model__alpha': 0.001},0.0,6.019565155644881e-06
frac_3,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,6.019565155644881e-06
frac_3,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",-0.00035639535440035175,6.021710500701863e-06
frac_3,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.0004799535563031476,6.022454267348731e-06
frac_4,Ridge,{'model__alpha': 0.1},0.0,2.3645284938661704e-05
frac_4,Lasso,{'model__alpha': 0.001},0.0,2.3645284938661704e-05
frac_4,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,2.3645284938661704e-05
frac_4,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.0025062717172754656,2.3704546447550392e-05
frac_4,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.16577007043779135,2.7564965488465302e-05
