Target,Model,BestParams,R2,MSE
frac_1,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.999870243378946,3.446300985404293e-06
frac_1,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9978156231271469,5.8016462730473996e-05
frac_1,SVR,"{'model__C': 0.1, 'model__kernel': 'rbf'}",0.6626357495049291,0.008960303832496064
frac_1,Ridge,{'model__alpha': 10},0.5675100010056131,0.011486818149281777
frac_1,Lasso,{'model__alpha': 0.1},0.20721473886602193,0.021056163488754023
frac_2,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9998867955175011,3.57427629763549e-06
frac_2,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9976941146439842,7.280516805645598e-05
frac_2,SVR,"{'model__C': 10, 'model__kernel': 'rbf'}",0.7287895848013357,0.008563096949155014
frac_2,Ridge,{'model__alpha': 10},0.560042023392903,0.013891069797157256
frac_2,Lasso,{'model__alpha': 0.1},0.25932321398895,0.02338585382849412
frac_3,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9998709600381422,9.556862590077076e-07
frac_3,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9998708829664817,9.562570614614263e-07
frac_3,Ridge,{'model__alpha': 10},0.6909169150844638,0.0022891083730405635
frac_3,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",0.0716172084275647,0.006875720236052335
frac_3,Lasso,{'model__alpha': 0.1},0.0,0.007406126328996987
frac_4,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9999064518848968,6.696272014015025e-07
frac_4,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9999064431075316,6.696900307002411e-07
frac_4,Ridge,{'model__alpha': 10},0.696494672484471,0.0021725229081366376
frac_4,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",0.05594084297406454,0.006757674278946775
frac_4,Lasso,{'model__alpha': 0.1},0.0,0.007158104689366544
frac_5,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",0.9999709211876187,4.2780859101891336e-08
frac_5,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.9940505880882137,8.752797376997484e-06
frac_5,Ridge,{'model__alpha': 10},0.8170965056902083,0.0002690883147739097
frac_5,Lasso,{'model__alpha': 0.01},0.8035980575972747,0.00028894728282204585
frac_5,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.022840516902521424,0.0015048068491769627
frac_6,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",0.9999532784999926,6.87564897870968e-08
frac_6,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.9940330564702122,8.781098462191631e-06
frac_6,Ridge,{'model__alpha': 10},0.8176169079482336,0.00026839937082536564
frac_6,Lasso,{'model__alpha': 0.01},0.8041725708169116,0.0002881843826190395
frac_6,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.022824178902213665,0.001505212807799124
frac_7,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",0.9999334164741176,9.807550310729845e-08
frac_7,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.994013291132742,8.818239592025569e-06
frac_7,Ridge,{'model__alpha': 10},0.817995890976436,0.0002680865022317349
frac_7,Lasso,{'model__alpha': 0.01},0.8046388822407227,0.00028776096876684205
frac_7,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.02254950056026339,0.0015061842308654514
frac_8,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9992697709056443,1.1442479334816152e-06
frac_8,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.9933540697537565,1.0413981049381311e-05
frac_8,Ridge,{'model__alpha': 10},0.8115598339681482,0.0002952803061854583
frac_8,Lasso,{'model__alpha': 0.01},0.801846439184815,0.0003105009157090036
frac_8,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.032794229183599866,0.0016183587747866878
frac_9,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9998878635463874,2.398327114540718e-08
frac_9,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.999887732799475,2.4011234742896024e-08
frac_9,Ridge,{'model__alpha': 0.1},0.9998631151648072,2.9276350485148023e-08
frac_9,Lasso,{'model__alpha': 0.001},0.9952122529503906,1.023983120271275e-06
frac_9,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-1.0832173231500875e-05,0.00021387809373040427
frac_10,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9998943409633225,2.269611027931617e-08
frac_10,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9998942537199634,2.2714850606325024e-08
frac_10,Ridge,{'model__alpha': 0.1},0.9998695924214187,2.801222571973552e-08
frac_10,Lasso,{'model__alpha': 0.001},0.9952389608401851,1.0226959587485702e-06
frac_10,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-2.877230159192834e-05,0.00021481137830105563
frac_11,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9998884575181034,2.4031241230457878e-08
frac_11,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.999888418242099,2.403970303909667e-08
frac_11,Ridge,{'model__alpha': 0.1},0.9998637091218217,2.936315308144598e-08
frac_11,Lasso,{'model__alpha': 0.001},0.9952468968149109,1.0240310892494502e-06
frac_11,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-5.669418155385131e-06,0.0002154459634123623
frac_12,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9998824672075747,2.541372691524037e-08
frac_12,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9998824395639223,2.5419704210730356e-08
frac_12,Ridge,{'model__alpha': 0.1},0.99985771895956,3.0764958717828915e-08
frac_12,Lasso,{'model__alpha': 0.001},0.9952576919870849,1.0254135743835334e-06
frac_12,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-1.6817143116965028e-05,0.00021623032837970934
frac_13,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9998805642462919,2.5981500273515697e-08
frac_13,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9998805259182864,2.598983797020022e-08
frac_13,Ridge,{'model__alpha': 0.1},0.9998558160453779,3.136510919175171e-08
frac_13,Lasso,{'model__alpha': 0.001},0.9952836112557887,1.0259813468189302e-06
frac_13,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-2.4101021664613143e-05,0.00021754060779592758
frac_14,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9998710225436998,2.8192505027017152e-08
frac_14,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.999870972034077,2.820354566026061e-08
frac_14,Ridge,{'model__alpha': 0.1},0.9998462745789538,3.360203271132865e-08
frac_14,Lasso,{'model__alpha': 0.001},0.9952961386769005,1.0281923508336366e-06
frac_14,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-3.6134075177773894e-05,0.00021859264824920693
frac_15,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9998765681982152,2.7097569500937284e-08
frac_15,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.999876397102489,2.7135130958083876e-08
frac_15,Ridge,{'model__alpha': 0.1},0.999851820096208,3.253063783877698e-08
frac_15,Lasso,{'model__alpha': 0.001},0.9953214813419842,1.0270974146365571e-06
frac_15,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-1.0158843514629368e-05,0.00021953697822679088
frac_16,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9964365193390609,7.678266339955384e-07
frac_16,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9964364418254565,7.678433359270376e-07
frac_16,Ridge,{'model__alpha': 0.1},0.9964118563822433,7.731407852199877e-07
frac_16,Lasso,{'model__alpha': 0.001},0.9917955236202506,1.7678264825207732e-06
frac_16,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.0005237734907699299,0.00021558382781554415
frac_17,Ridge,{'model__alpha': 0.1},0.0,2.988990637699851e-08
frac_17,Lasso,{'model__alpha': 0.001},0.0,2.988990637699851e-08
frac_17,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,2.988990637699851e-08
frac_17,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.004433827885857999,3.002243307739853e-08
frac_17,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.40590035218375875,4.2022229902161776e-08
frac_18,Ridge,{'model__alpha': 0.1},0.0,2.5349672450572248e-08
frac_18,Lasso,{'model__alpha': 0.001},0.0,2.5349672450572248e-08
frac_18,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,2.5349672450572248e-08
frac_18,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.004230954095660877,2.5456925751050658e-08
frac_18,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.4984269344393697,3.798463197915312e-08
