Target,Model,BestParams,R2,MSE
frac_1,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9977444968117418,6.883277693457198e-06
frac_1,Ridge,{'model__alpha': 0.1},0.9977245269229869,6.944221207314022e-06
frac_1,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 100}",0.9977142493041269,6.975586139542384e-06
frac_1,Lasso,{'model__alpha': 0.001},0.9974215444179473,7.868854224595305e-06
frac_1,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.0016310041046572188,0.0030567477729671858
frac_2,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",0.9974358107136986,1.1070725017522063e-05
frac_2,Ridge,{'model__alpha': 0.1},0.9974125331563699,1.1171224398610278e-05
frac_2,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 100}",0.997402258751376,1.1215583492150437e-05
frac_2,Lasso,{'model__alpha': 0.001},0.9972056026731653,1.2064633668175401e-05
frac_2,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.0034296553187131984,0.0043322440538247995
frac_3,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9965213315108745,2.2576616555748427e-05
frac_3,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9965211257798613,2.257795175345812e-05
frac_3,Ridge,{'model__alpha': 0.1},0.9964966664548576,2.273669318097507e-05
frac_3,Lasso,{'model__alpha': 0.001},0.9963672494052604,2.3576611992918286e-05
frac_3,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.0023065038241631974,0.0065049859389906105
frac_4,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}",0.9977884821132098,7.467268845815134e-06
frac_4,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",0.9977786852110658,7.500348434545425e-06
frac_4,Ridge,{'model__alpha': 0.1},0.9977637856937491,7.550657184992865e-06
frac_4,Lasso,{'model__alpha': 0.001},0.9974923212710214,8.467266468910788e-06
frac_4,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.0023275302029683864,0.003384394575460834
frac_5,Ridge,{'model__alpha': 0.1},0.0,7.963029513171503e-06
frac_5,Lasso,{'model__alpha': 0.001},0.0,7.963029513171503e-06
frac_5,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,7.963029513171503e-06
frac_5,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",-0.0005924956433887019,7.967747573466235e-06
frac_5,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.05035444365777786,8.36400343413772e-06
frac_6,Ridge,{'model__alpha': 0.1},0.0,1.4448839049173334e-05
frac_6,Lasso,{'model__alpha': 0.001},0.0,1.4448839049173334e-05
frac_6,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,1.4448839049173334e-05
frac_6,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.0006414188179071356,1.4458106806436384e-05
frac_6,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.013856995800193506,1.4649056551195401e-05
frac_7,Ridge,{'model__alpha': 0.1},0.0,9.62360429367415e-06
frac_7,Lasso,{'model__alpha': 0.001},0.0,9.62360429367415e-06
frac_7,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,9.62360429367415e-06
frac_7,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.008041537584848157,9.700992869303438e-06
frac_7,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.26108182012696757,1.2136152418848298e-05
frac_8,Ridge,{'model__alpha': 0.1},0.0,9.857673151697714e-06
frac_8,Lasso,{'model__alpha': 0.001},0.0,9.857673151697714e-06
frac_8,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,9.857673151697714e-06
frac_8,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.003330598323507461,9.890505101370443e-06
frac_8,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.12909751756675125,1.1130274284566304e-05
