stroke,target,model,bestparams,features,dataset,model_path,cv_metrics
Backstroke,frac_1,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}","['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/backstroke_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Backstroke/frac_1_RandomForest.joblib,"{'r2_mean': 0.9991287031393602, 'r2_std': 0.0005157114179235293, 'mse_mean': 9.017366410503943e-06, 'mse_std': 4.951023940268946e-06}"
Backstroke,frac_2,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}","['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/backstroke_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Backstroke/frac_2_GBR.joblib,"{'r2_mean': 0.9996849227560951, 'r2_std': 0.0002653329069974298, 'mse_mean': 5.3122560530927e-06, 'mse_std': 4.428567186458007e-06}"
Backstroke,frac_3,Ridge,{'model__alpha': 0.1},"['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/backstroke_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Backstroke/frac_3_Ridge.joblib,"{'r2_mean': -12.999976121471784, 'r2_std': 8.39759835126882, 'mse_mean': 1.2132710327679235e-05, 'mse_std': 6.6189291207628565e-06}"
Backstroke,frac_4,Ridge,{'model__alpha': 0.1},"['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/backstroke_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Backstroke/frac_4_Ridge.joblib,"{'r2_mean': -1.1843478619980625, 'r2_std': 1.634494993803791, 'mse_mean': 4.088101621275382e-05, 'mse_std': 4.6607202234119204e-05}"
Breaststroke,frac_1,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}","['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/breaststroke_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Breaststroke/frac_1_GBR.joblib,"{'r2_mean': 0.9985378500337465, 'r2_std': 0.0003564073538930797, 'mse_mean': 2.1608732671286102e-05, 'mse_std': 5.460842115901572e-06}"
Breaststroke,frac_2,GBR,"{'model__learning_rate': 0.1, 'model__n_estimators': 100}","['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/breaststroke_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Breaststroke/frac_2_GBR.joblib,"{'r2_mean': 0.9991327061688031, 'r2_std': 0.0002565723356919776, 'mse_mean': 1.6913563928514368e-05, 'mse_std': 5.022359286329515e-06}"
Breaststroke,frac_3,Ridge,{'model__alpha': 0.1},"['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/breaststroke_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Breaststroke/frac_3_Ridge.joblib,"{'r2_mean': -28.043161038512245, 'r2_std': 43.14181828152337, 'mse_mean': 3.7266480116328046e-06, 'mse_std': 3.071066835541381e-06}"
Breaststroke,frac_4,Ridge,{'model__alpha': 0.1},"['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/breaststroke_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Breaststroke/frac_4_Ridge.joblib,"{'r2_mean': -2.498033945963418, 'r2_std': 3.552855944127505, 'mse_mean': 1.1474051595290881e-05, 'mse_std': 7.980698115207334e-06}"
Butterfly,frac_1,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}","['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/butterfly_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Butterfly/frac_1_RandomForest.joblib,"{'r2_mean': 0.9969558574130047, 'r2_std': 0.0016123028370384133, 'mse_mean': 3.49994051857861e-05, 'mse_std': 1.651992223811402e-05}"
Butterfly,frac_2,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}","['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/butterfly_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Butterfly/frac_2_RandomForest.joblib,"{'r2_mean': 0.9981614695809569, 'r2_std': 0.0007668701227271016, 'mse_mean': 2.979397816990081e-05, 'mse_std': 1.2938034160292515e-05}"
Butterfly,frac_3,Ridge,{'model__alpha': 0.1},"['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/butterfly_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Butterfly/frac_3_Ridge.joblib,"{'r2_mean': -6.827198814319056, 'r2_std': 8.918210839396464, 'mse_mean': 7.210408551696695e-06, 'mse_std': 3.415260090716574e-06}"
Butterfly,frac_4,Ridge,{'model__alpha': 0.1},"['Distance', 'Final time in seconds', 'athlete age', 'pool_len', 'strategy_code', 'final_time_sec']",/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/datasets/butterfly_dataset.csv,/Users/hrishikeshkarmalkar/Desktop/LapTempo/LapTempo/Datasets/World Aquatics Dataset/models/Butterfly/frac_4_Ridge.joblib,"{'r2_mean': -39.62032867907392, 'r2_std': 68.63320685064217, 'mse_mean': 2.7388152025537357e-05, 'mse_std': 2.2556251605311258e-05}"
